Time,Distance[km],Battery SOC[%],Motor RPS,Motor RPM,Speed[km/h],Motor Torque,SOC Voltage[V],Electric_consumption_current[A],Electirc Power[W]
0,0,100,0,0,0,0,929.53313,60860.8428,0
1,0,99.9972983,0,0,0,0,929.514881,60814.4297,0
2,0,99.9945986,0,0,0,0,929.496645,60768.1208,0
3,0.000106935595,99.9919009,0.951716504,57.1029902,0.919274753,265,929.478423,60721.915,2272.91206
4,0.000516224402,99.9892052,2.09860263,125.916158,2.02706626,265,929.460215,60675.8104,4968.59136
5,0.00123307579,99.9865114,3.24486107,194.691664,3.13425148,265,929.442019,60629.8067,7616.61012
6,0.0022574678,99.9838194,4.39103652,263.462191,4.24135653,265,929.423836,60583.9035,10222.9642
7,0.00358937636,99.9811294,5.53711559,332.226936,5.3483685,265,929.405666,60538.1005,12787.8196
8,0.00522877382,99.9784414,6.68308492,400.985095,6.45527445,265,929.387509,60492.3974,15311.6247
9,0.00717562893,99.9757552,7.82893113,469.735868,7.56206149,265,929.369364,60446.7939,17796.0058
10,0.00942990688,99.9730709,8.97464085,538.478451,8.6687167,265,929.351233,60401.2895,20241.725
11,0.0119915693,99.9703885,10.1202007,607.212044,9.77522717,265,929.333114,60355.884,22649.3965
12,0.014860574,99.9677081,11.2655974,675.935846,10.88158,265,929.315009,60310.5771,25021.2543
13,0.0180368757,99.9650295,12.4108176,744.649055,11.9877623,265,929.296916,60265.3683,27358.2381
14,0.021520425,99.9623528,13.5558479,813.350873,13.0937613,265,929.278836,60220.2575,29660.074
15,0.0253111693,99.959678,14.700675,882.040498,14.1995639,265,929.260768,60175.2441,31929.1485
16,0.0294090523,99.9570051,15.8452856,950.717133,15.3051575,265,929.242714,60130.328,34167.3977
17,0.033814014,99.9543341,16.9896663,1019.37998,16.410529,265,929.224672,60085.5088,36373.2068
18,0.0385259911,99.951665,18.133804,1088.02824,17.5156657,265,929.206643,60040.7862,38548.7253
19,0.0435449165,99.9489977,19.2776852,1156.66111,18.6205548,265,929.188626,59996.1598,40697.9446
20,0.0488707197,99.9463324,20.4212968,1225.27781,19.7251834,265,929.170623,59951.6293,42817.2457
21,0.0545033264,99.9436689,21.5646254,1293.87753,20.8295387,265,929.152632,59907.1944,44907.9758
22,0.0604426591,99.9410072,22.7076579,1362.45948,21.9336079,265,929.134653,59862.8547,46977.1904
23,0.0666886365,99.9383475,23.850381,1431.02286,23.0373782,265,929.116688,59818.61,49018.8052
24,0.0732411737,99.9356896,24.9927814,1499.56688,24.140837,265,929.098734,59774.4599,51033.3453
25,0.0801001825,99.9330336,26.134846,1568.09076,25.2439713,265,929.080794,59730.4041,53029.2065
26,0.087265571,99.9303794,27.2765616,1636.5937,26.3467685,265,929.062866,59686.4423,54999.9552
27,0.0947372437,99.9277271,28.417915,1705.0749,27.4492159,265,929.04495,59642.5741,56945.6123
28,0.102515102,99.9250766,29.558893,1773.53358,28.5513007,265,929.027047,59598.7993,58873.0591
29,0.110599043,99.922428,30.6994826,1841.96895,29.6530103,265,929.009157,59555.1175,60778.4069
30,0.11898896,99.9197813,31.8396705,1910.38023,30.7543319,265,928.991279,59511.5284,62660.3977
31,0.127684746,99.9171363,32.9794438,1978.76663,31.855253,265,928.973413,59468.0317,64522.6277
32,0.136686285,99.9144933,34.1187892,2047.12735,32.9557609,265,928.95556,59424.627,66364.3631
33,0.145993462,99.911852,35.2576938,2115.46163,34.0558429,265,928.93772,59381.3142,68184.1476
34,0.155606157,99.9092126,36.3961446,2183.76867,35.1554866,265,928.919891,59338.0927,69982.8986
35,0.165524246,99.9065751,37.5341284,2252.0477,36.2546792,265,928.902075,59294.9625,71761.0891
36,0.175747603,99.9039393,38.6716323,2320.29794,37.3534083,265,928.884272,59251.9231,73518.4559
37,0.186276096,99.9013054,39.8086433,2388.5186,38.4516613,265,928.866481,59208.9742,75254.4762
38,0.197109591,99.8986733,40.9451484,2456.70891,39.5494257,265,928.848702,59166.1156,76968.2627
39,0.208247953,99.896043,42.0811348,2524.86809,40.6466891,265,928.830935,59123.3468,78662.1394
40,0.219691038,99.8934146,43.2165896,2592.99537,41.7434388,265,928.813181,59080.6678,80335.6317
41,0.231438703,99.8907879,44.3514997,2661.08998,42.8396626,265,928.795438,59038.078,81984.3015
42,0.243490801,99.8881631,45.4858525,2729.15115,43.935348,265,928.777709,58995.5773,83613.8392
43,0.255847179,99.8855401,46.619635,2797.1781,45.0304825,265,928.759991,58953.1654,85224.5574
44,0.268507683,99.8829189,47.7528344,2865.17006,46.1250539,264.982042,928.742285,58910.8419,86806.1182
45,0.281471522,99.8802995,48.8784019,2932.70412,47.2122535,261.799574,928.724592,58868.6069,87338.3155
46,0.294735425,99.8776819,49.9895694,2999.37417,48.2855439,258.657822,928.706912,58826.4606,87830.8608
47,0.308295552,99.8750662,51.0865086,3065.19052,49.3450911,255.5563,928.689244,58784.4027,88296.3518
48,0.322148107,99.8724524,52.1693897,3130.16338,50.3910593,252.494526,928.671588,58742.4328,88733.496
49,0.336289342,99.8698404,53.2383809,3194.30286,51.4236112,249.472024,928.653945,58700.5508,89140.8067
50,0.350715553,99.8672302,54.293649,3257.61894,52.4429077,246.488324,928.636314,58658.7563,89527.0009
51,0.365423078,99.8646219,55.335359,3320.12154,53.4491082,243.542958,928.618695,58617.049,89875.8334
52,0.380408304,99.8620153,56.363674,3381.82044,54.4423705,240.635466,928.601089,58575.4287,90197.4116
53,0.395667656,99.8594107,57.3787558,3442.72535,55.4228505,237.76539,928.583496,58533.895,90490.9704
54,0.411197607,99.8568078,58.3807642,3502.84585,56.3907028,234.932278,928.565914,58492.4478,90758.2684
55,0.426994669,99.8542068,59.3698575,3562.19145,57.3460803,232.135683,928.548345,58451.0866,91003.054
56,0.443055399,99.8516076,60.3461924,3620.77154,58.2891343,229.375161,928.530789,58409.8113,91223.4388
